r_xy_mm,phi_deg,z_mm,spiral,order_idx
160,234.9,800,reverse,960
111,242.6,800,forward,961
217,247.3,798,reverse,962
113,242.6,0,forward,963
219,247.3,0,reverse,964
217,250.2,800,forward,965
219,250.2,0,forward,966
160,262.6,800,forward,967
162,262.6,0,forward,968
186,267.3,0,reverse,969
64,275.0,800,forward,970
248,270.3,0,forward,971
235,279.7,800,reverse,972
199,282.7,0,forward,973
238,279.7,0,reverse,974
143,287.4,800,reverse,975
242,291.7,798,reverse,976
145,287.4,0,reverse,977
208,299.8,0,reverse,978
228,302.7,800,forward,979
86,307.5,800,reverse,980
170,319.9,800,reverse,981
95,327.5,800,forward,982
212,335.2,2,forward,983
125,339.9,800,reverse,984
250,343.3,800,forward,985
149,347.6,800,forward,986
238,355.3,800,forward,987
