r_xy_mm,phi_deg,z_mm,spiral,order_idx
108,142.2,-157,reverse,627
95,140.4,-136,forward,628
91,139.3,-104,reverse,629
95,135.7,-103,forward,630
99,138.6,-51,forward,631
93,136.4,-51,reverse,632
100,141.1,-19,reverse,633
108,141.6,2,forward,634
107,138.2,34,reverse,635
96,136.8,35,forward,636
102,135.3,87,reverse,637
102,139.7,88,forward,638
106,140.0,120,reverse,639
91,135.0,121,forward,640
111,137.1,173,reverse,641
98,137.9,174,forward,642
100,144.7,152,reverse,643
107,142.7,141,forward,644
101,147.4,108,forward,645
89,147.7,100,reverse,646
101,142.9,67,reverse,647
94,144.5,55,forward,648
110,149.2,23,forward,649
91,145.9,14,reverse,650
104,146.3,-30,forward,651
108,148.8,-39,reverse,652
97,144.0,-72,reverse,653
100,143.4,-83,forward,654
93,148.1,-116,forward,655
101,147.0,-125,reverse,656
97,145.2,-169,forward,657
108,152.8,-149,forward,658
91,154.6,-145,reverse,659
110,155.8,-96,forward,660
102,151.7,-92,reverse,661
100,151.0,-63,forward,662
109,156.4,-59,reverse,663
93,154.0,-10,forward,664
90,153.5,-6,reverse,665
92,156.9,43,forward,666
92,150.6,47,reverse,667
112,152.1,76,forward,668
100,155.3,79,reverse,669
111,155.1,128,forward,670
101,152.4,132,reverse,671
100,150.3,161,forward,672
93,157.1,165,reverse,673
109,162.7,149,forward,674
95,164.8,145,reverse,675
98,160.1,112,reverse,676
108,159.8,96,forward,677
110,164.5,63,forward,678
110,163.0,59,reverse,679
89,158.3,26,reverse,680
89,161.6,10,forward,681
111,161.2,-26,reverse,682
98,158.7,-43,forward,683
101,163.4,-76,forward,684
92,164.1,-79,reverse,685
101,159.4,-112,reverse,686
91,160.5,-128,forward,687
94,162.3,-165,reverse,688
93,165.2,-161,forward,689
112,167.0,-132,reverse,690
97,168.2,-108,forward,691
99,171.8,-100,reverse,692
98,171.1,-55,forward,693
102,168.8,-47,reverse,694
106,166.4,-23,forward,695
108,165.9,6,reverse,696
93,169.3,30,forward,697
105,170.7,39,reverse,698
92,172.2,83,forward,699
99,167.7,92,reverse,700
110,167.5,116,forward,701
108,170.4,169,forward,702
96,172.5,125,reverse,703
107,174.0,-2,forward,704
92,173.6,-14,reverse,705
95,172.9,-141,forward,706
99,174.7,-152,reverse,707
100,172.9,187,forward,708
87,174.7,187,reverse,709
33,170.0,180,reverse,710
77,165.2,197,forward,711
112,169.5,177,reverse,712
101,158.0,181,forward,713
71,162.3,182,reverse,714
43,157.6,195,forward,715
91,152.8,200,forward,716
96,154.6,182,reverse,717
107,149.5,185,reverse,718
66,145.2,188,forward,719
51,149.9,192,reverse,720
10,137.5,182,reverse,721
17,137.5,191,forward,722
81,142.2,192,reverse,723
83,132.8,196,forward,724
64,129.8,197,reverse,725
53,125.1,191,forward,726
90,122.2,186,reverse,727
97,125.5,186,forward,728
97,120.4,194,forward,729
94,117.0,180,reverse,730
73,112.7,185,forward,731
40,117.4,195,reverse,732
35,105.0,196,forward,733
75,109.8,185,reverse,734
100,105.5,178,forward,735
99,102.1,196,reverse,736
88,100.3,199,forward,737
56,97.4,181,reverse,738
61,92.6,201,forward,739
95,96.9,188,reverse,740
85,89.7,185,reverse,741
26,85.0,198,reverse,742
69,77.3,192,reverse,743
79,80.2,184,forward,744
94,69.7,190,reverse,745
94,67.8,198,forward,746
88,73.0,183,forward,747
47,72.6,188,forward,748
47,64.9,193,reverse,749
69,60.2,179,forward,750
109,64.5,183,reverse,751
79,57.3,178,reverse,752
26,52.5,193,forward,753
85,47.8,178,forward,754
90,40.6,188,forward,755
61,44.9,186,reverse,756
56,40.1,188,forward,757
35,32.5,195,reverse,758
88,37.2,194,reverse,759
99,35.4,193,forward,760
111,32.0,178,reverse,761
75,27.7,194,forward,762
73,24.8,198,reverse,763
40,20.1,187,forward,764
90,15.3,179,forward,765
97,17.1,188,reverse,766
